Müşteri,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Skoru,Segment
10100002,5.0,8,1228.5,5,2,2,522,Need Attention
17100001,2.0,684,340441.95,5,3,3,533,Loyal
17100002,365.0,26,2260.75,2,2,2,222,Hibernating
17100003,9.0,764,271471.55,5,3,3,533,Loyal
17100004,752.0,13,8368.55,1,2,2,122,Hibernating
17100005,1.0,10,2299.05,5,2,2,522,Need Attention
17100006,1112.0,1,351.0,1,1,1,111,Hibernating
17100008,1101.0,4,17778.15,1,1,2,112,Hibernating
17100009,750.0,7,4617.55,1,2,2,122,Hibernating
17100011,1482.0,4,175.5,1,1,1,111,Hibernating
17100012,9.0,7,807.3,5,2,1,521,Need Attention
17100013,9.0,6,561.6,5,2,1,521,Need Attention
17100014,9.0,5,421.2,5,1,1,511,Need Attention
17100051,19.0,4,1366.4,3,1,2,312,Need Attention
17100080,367.0,1,50.0,1,1,1,111,Hibernating
17100100,2222.0,2,17.55,1,1,1,111,Hibernating
17100273,9.0,6,614.25,5,2,1,521,Need Attention
17186001,520.0,8,7195.5,1,2,2,122,Hibernating
BP_US_01,2223.0,1,0.0,1,1,1,111,Hibernating
EWM17-CU01,257.0,65,280755.0,2,3,3,233,At Risk
EWM17-CU02,257.0,22,3000.0,2,2,2,222,Hibernating
EWM17-CU03,1104.0,2,39015.0,1,1,2,112,Hibernating
USCU_L01,9.0,1242,90823790.0,5,5,5,555,Champions
USCU_L02,9.0,1329,87239356.0,4,5,5,455,Champions
USCU_L03,9.0,1375,106687237.0,4,5,5,455,Champions
USCU_L04,9.0,1162,68457851.0,4,5,5,455,Champions
USCU_L05,9.0,1028,60938457.0,4,4,4,444,Champions
USCU_L06,25.0,1099,61002128.0,3,4,5,345,Need Attention
USCU_L07,25.0,932,49357010.0,2,4,3,243,At Risk
USCU_L08,165.0,1006,52443089.0,2,4,4,244,At Risk
USCU_L09,9.0,1488,126896414.0,4,5,5,455,Champions
USCU_L10,9.0,1551,135060605.0,4,5,5,455,Champions
USCU_S01,9.0,985,52628154.0,4,4,4,444,Champions
USCU_S02,9.0,998,54866283.0,4,4,4,444,Champions
USCU_S03,9.0,1013,51973429.0,4,4,4,444,Champions
USCU_S04,25.0,1123,56618812.0,2,5,4,254,At Risk
USCU_S05,9.0,899,49519868.0,4,3,4,434,Loyal
USCU_S06,25.0,698,33889167.0,2,3,3,233,At Risk
USCU_S07,9.0,1061,52453601.0,3,4,4,344,Need Attention
USCU_S08,9.0,762,39104833.0,3,3,3,333,Need Attention
USCU_S09,25.0,844,37924492.0,2,3,3,233,At Risk
USCU_S10,9.0,925,47552360.0,3,3,3,333,Need Attention
USCU_S11,25.0,857,47556090.0,2,3,3,233,At Risk
USCU_S12,180.0,818,33423807.0,2,3,3,233,At Risk
USCU_S13,9.0,973,49644962.0,3,4,4,344,Need Attention
USCU_S14,9.0,1187,70839503.0,3,5,5,355,Need Attention
USCU_S15,9.0,1105,79593980.0,3,5,5,355,Need Attention
USCU_S16,9.0,1297,77238257.0,3,5,5,355,Need Attention
USCU_S17,9.0,1101,57993786.0,3,4,4,344,Need Attention
