Müşteri Adı,Sipariş Sayısı,Toplam Net Satış,Ortalama Sipariş Büyüklüğü,Segment
USCU_L10,4305,135060605.0,31372.962833914054,Büyük Alıcı
USCU_L09,4066,126896414.0,31209.15248401377,Büyük Alıcı
USCU_L03,3384,106687237.0,31526.961288416074,Büyük Alıcı
USCU_L02,2803,87239356.0,31123.56617909383,Büyük Alıcı
USCU_L01,2723,90823790.0,33354.31142122659,Büyük Alıcı
USCU_S16,2495,77238257.0,30957.21723446894,Büyük Alıcı
USCU_S15,2367,79593980.0,33626.523024926064,Büyük Alıcı
17100003,2328,271471.55,116.61149054982818,Küçük Alıcı
USCU_S14,2274,70839503.0,31151.936235708003,Büyük Alıcı
USCU_L04,2254,68457851.0,30371.717391304348,Büyük Alıcı
USCU_L06,1928,61002128.0,31640.10788381743,Büyük Alıcı
USCU_S17,1925,57993786.0,30126.64207792208,Büyük Alıcı
USCU_L05,1820,60938457.0,33482.66868131868,Büyük Alıcı
USCU_S02,1804,54866283.0,30413.682372505544,Büyük Alıcı
USCU_S04,1803,56618812.0,31402.55795895729,Büyük Alıcı
USCU_L07,1701,49357010.0,29016.466784244563,Orta Seviye Alıcı
USCU_L08,1643,52443089.0,31919.104686548995,Büyük Alıcı
USCU_S13,1603,49644962.0,30970.032439176543,Büyük Alıcı
USCU_S07,1602,52453601.0,32742.57240948814,Büyük Alıcı
USCU_S01,1554,52628154.0,33866.25096525097,Büyük Alıcı
USCU_S03,1512,51973429.0,34373.96097883598,Büyük Alıcı
USCU_S10,1444,47552360.0,32930.997229916895,Büyük Alıcı
USCU_S05,1441,49519868.0,34364.93268563497,Büyük Alıcı
USCU_S11,1431,47556090.0,33232.767295597485,Büyük Alıcı
USCU_S09,1179,37924492.0,32166.659881255302,Büyük Alıcı
USCU_S08,1166,39104833.0,33537.592624356774,Büyük Alıcı
USCU_S12,1122,33423807.0,29789.489304812832,Orta Seviye Alıcı
USCU_S06,1091,33889167.0,31062.481209899175,Büyük Alıcı
17100001,767,340441.95,443.8617340286832,Küçük Alıcı
EWM17-CU01,293,280755.0,958.2081911262799,Küçük Alıcı
EWM17-CU02,129,3000.0,23.25581395348837,Küçük Alıcı
17100002,30,2260.75,75.35833333333333,Küçük Alıcı
17100004,16,8368.55,523.034375,Küçük Alıcı
17100005,16,2299.05,143.690625,Küçük Alıcı
EWM17-CU03,12,39015.0,3251.25,Küçük Alıcı
10100002,11,1228.5,111.68181818181819,Küçük Alıcı
17186001,9,7195.5,799.5,Küçük Alıcı
17100012,8,807.3,100.9125,Küçük Alıcı
17100009,7,4617.55,659.65,Küçük Alıcı
17100273,7,614.25,87.75,Küçük Alıcı
17100013,7,561.6,80.22857142857143,Küçük Alıcı
17100014,6,421.2,70.2,Küçük Alıcı
17100051,4,1366.4,341.6,Küçük Alıcı
17100008,4,17778.149999999998,4444.537499999999,Küçük Alıcı
17100011,4,175.5,43.875,Küçük Alıcı
17100100,3,17.55,5.8500000000000005,Küçük Alıcı
17100006,1,351.0,351.0,Küçük Alıcı
17100080,1,50.0,50.0,Küçük Alıcı
BP_US_01,1,0.0,0.0,Küçük Alıcı
